"Step","S4ClassicModel dplr+LN[] - train acc","S4ClassicModel dplr+LN[] - train acc__MIN","S4ClassicModel dplr+LN[] - train acc__MAX","S4ClassicModel diag+LN[] - train acc","S4ClassicModel diag+LN[] - train acc__MIN","S4ClassicModel diag+LN[] - train acc__MAX","MambaModel diag - train acc","MambaModel diag - train acc__MIN","MambaModel diag - train acc__MAX","MambaModel dplr - train acc","MambaModel dplr - train acc__MIN","MambaModel dplr - train acc__MAX","MambaModel s6 - train acc","MambaModel s6 - train acc__MIN","MambaModel s6 - train acc__MAX"
"0","0.23420000000000002","0.23420000000000002","0.23420000000000002","0.2561555555555556","0.2561555555555556","0.2561555555555556","0.3662666666666667","0.3662666666666667","0.3662666666666667","0.3473777777777778","0.3473777777777778","0.3473777777777778","0.31675555555555557","0.31675555555555557","0.31675555555555557"
"1","0.3748444444444445","0.3748444444444445","0.3748444444444445","0.39384444444444444","0.39384444444444444","0.39384444444444444","0.47833333333333333","0.47833333333333333","0.47833333333333333","0.4632888888888889","0.4632888888888889","0.4632888888888889","0.4402888888888889","0.4402888888888889","0.4402888888888889"
"2","0.46195555555555556","0.46195555555555556","0.46195555555555556","0.46273333333333333","0.46273333333333333","0.46273333333333333","0.5272","0.5272","0.5272","0.5076666666666667","0.5076666666666667","0.5076666666666667","0.49260000000000004","0.49260000000000004","0.49260000000000004"
"3","0.5193333333333333","0.5193333333333333","0.5193333333333333","0.5133555555555556","0.5133555555555556","0.5133555555555556","0.5609555555555555","0.5609555555555555","0.5609555555555555","0.5352888888888889","0.5352888888888889","0.5352888888888889","0.5291777777777779","0.5291777777777779","0.5291777777777779"
"4","0.5593777777777778","0.5593777777777778","0.5593777777777778","0.5503333333333333","0.5503333333333333","0.5503333333333333","0.5876222222222223","0.5876222222222223","0.5876222222222223","0.5621111111111111","0.5621111111111111","0.5621111111111111","0.5563111111111111","0.5563111111111111","0.5563111111111111"
"5","0.5878444444444445","0.5878444444444445","0.5878444444444445","0.5753555555555556","0.5753555555555556","0.5753555555555556","0.6079555555555556","0.6079555555555556","0.6079555555555556","0.5778666666666666","0.5778666666666666","0.5778666666666666","0.5750000000000001","0.5750000000000001","0.5750000000000001"
"6","0.6102666666666667","0.6102666666666667","0.6102666666666667","0.6011111111111112","0.6011111111111112","0.6011111111111112","0.6238444444444444","0.6238444444444444","0.6238444444444444","0.5938","0.5938","0.5938","0.5912666666666667","0.5912666666666667","0.5912666666666667"
"7","0.6312","0.6312","0.6312","0.6214888888888889","0.6214888888888889","0.6214888888888889","0.6391555555555556","0.6391555555555556","0.6391555555555556","0.6035111111111111","0.6035111111111111","0.6035111111111111","0.5992222222222222","0.5992222222222222","0.5992222222222222"
"8","0.6488222222222223","0.6488222222222223","0.6488222222222223","0.6378666666666667","0.6378666666666667","0.6378666666666667","0.6547111111111111","0.6547111111111111","0.6547111111111111","0.6186666666666667","0.6186666666666667","0.6186666666666667","0.614688888888889","0.614688888888889","0.614688888888889"
"9","0.6616666666666667","0.6616666666666667","0.6616666666666667","0.6468","0.6468","0.6468","0.6636444444444445","0.6636444444444445","0.6636444444444445","0.6285555555555555","0.6285555555555555","0.6285555555555555","0.6279333333333333","0.6279333333333333","0.6279333333333333"
"10","0.6732888888888889","0.6732888888888889","0.6732888888888889","0.6618222222222222","0.6618222222222222","0.6618222222222222","0.6746666666666667","0.6746666666666667","0.6746666666666667","0.6412","0.6412","0.6412","0.6345333333333334","0.6345333333333334","0.6345333333333334"
"11","0.6903333333333334","0.6903333333333334","0.6903333333333334","0.6723111111111112","0.6723111111111112","0.6723111111111112","0.6828000000000001","0.6828000000000001","0.6828000000000001","0.6488","0.6488","0.6488","0.6448666666666667","0.6448666666666667","0.6448666666666667"
"12","0.6992","0.6992","0.6992","0.6838222222222222","0.6838222222222222","0.6838222222222222","0.6931555555555556","0.6931555555555556","0.6931555555555556","0.6570444444444444","0.6570444444444444","0.6570444444444444","0.6485555555555556","0.6485555555555556","0.6485555555555556"
"13","0.7060000000000001","0.7060000000000001","0.7060000000000001","0.6930000000000001","0.6930000000000001","0.6930000000000001","0.6993555555555556","0.6993555555555556","0.6993555555555556","0.6629777777777778","0.6629777777777778","0.6629777777777778","0.6582888888888889","0.6582888888888889","0.6582888888888889"
"14","0.7163111111111111","0.7163111111111111","0.7163111111111111","0.6994666666666667","0.6994666666666667","0.6994666666666667","0.7072222222222223","0.7072222222222223","0.7072222222222223","0.6715111111111112","0.6715111111111112","0.6715111111111112","0.6642666666666667","0.6642666666666667","0.6642666666666667"
"15","0.7221555555555556","0.7221555555555556","0.7221555555555556","0.709288888888889","0.709288888888889","0.709288888888889","0.7137777777777778","0.7137777777777778","0.7137777777777778","0.6771333333333334","0.6771333333333334","0.6771333333333334","0.6697333333333334","0.6697333333333334","0.6697333333333334"
"16","0.7325333333333334","0.7325333333333334","0.7325333333333334","0.7148","0.7148","0.7148","0.7211333333333334","0.7211333333333334","0.7211333333333334","0.6839555555555555","0.6839555555555555","0.6839555555555555","0.6758888888888889","0.6758888888888889","0.6758888888888889"
"17","0.7404000000000001","0.7404000000000001","0.7404000000000001","0.7225555555555556","0.7225555555555556","0.7225555555555556","0.7275555555555556","0.7275555555555556","0.7275555555555556","0.6909333333333334","0.6909333333333334","0.6909333333333334","0.679088888888889","0.679088888888889","0.679088888888889"
"18","0.7452444444444445","0.7452444444444445","0.7452444444444445","0.7287111111111112","0.7287111111111112","0.7287111111111112","0.7318222222222223","0.7318222222222223","0.7318222222222223","0.6988888888888889","0.6988888888888889","0.6988888888888889","0.689088888888889","0.689088888888889","0.689088888888889"
"19","0.7506444444444444","0.7506444444444444","0.7506444444444444","0.7336222222222223","0.7336222222222223","0.7336222222222223","0.738488888888889","0.738488888888889","0.738488888888889","0.7072444444444445","0.7072444444444445","0.7072444444444445","0.6926","0.6926","0.6926"
"20","0.7568888888888889","0.7568888888888889","0.7568888888888889","0.7382666666666667","0.7382666666666667","0.7382666666666667","0.7443111111111111","0.7443111111111111","0.7443111111111111","0.708488888888889","0.708488888888889","0.708488888888889","0.6975111111111112","0.6975111111111112","0.6975111111111112"
"21","0.7635555555555555","0.7635555555555555","0.7635555555555555","0.7479555555555556","0.7479555555555556","0.7479555555555556","0.7505333333333334","0.7505333333333334","0.7505333333333334","0.712488888888889","0.712488888888889","0.712488888888889","0.7029111111111112","0.7029111111111112","0.7029111111111112"
"22","0.7681555555555556","0.7681555555555556","0.7681555555555556","0.7517777777777778","0.7517777777777778","0.7517777777777778","0.753","0.753","0.753","0.7187777777777778","0.7187777777777778","0.7187777777777778","0.7080666666666667","0.7080666666666667","0.7080666666666667"
"23","0.775","0.775","0.775","0.754688888888889","0.754688888888889","0.754688888888889","0.7600222222222223","0.7600222222222223","0.7600222222222223","0.7259777777777778","0.7259777777777778","0.7259777777777778","0.7086","0.7086","0.7086"
"24","0.7800222222222223","0.7800222222222223","0.7800222222222223","0.7573555555555556","0.7573555555555556","0.7573555555555556","0.766","0.766","0.766","0.7284666666666667","0.7284666666666667","0.7284666666666667","0.7179333333333333","0.7179333333333333","0.7179333333333333"
"25","0.7814888888888889","0.7814888888888889","0.7814888888888889","0.7634000000000001","0.7634000000000001","0.7634000000000001","0.7692444444444445","0.7692444444444445","0.7692444444444445","0.733","0.733","0.733","0.7220444444444445","0.7220444444444445","0.7220444444444445"
"26","0.7867333333333334","0.7867333333333334","0.7867333333333334","0.7702222222222223","0.7702222222222223","0.7702222222222223","0.7736666666666667","0.7736666666666667","0.7736666666666667","0.7378888888888889","0.7378888888888889","0.7378888888888889","0.7261777777777778","0.7261777777777778","0.7261777777777778"
"27","0.7898444444444445","0.7898444444444445","0.7898444444444445","0.772","0.772","0.772","0.7773555555555556","0.7773555555555556","0.7773555555555556","0.7432444444444445","0.7432444444444445","0.7432444444444445","0.7318888888888889","0.7318888888888889","0.7318888888888889"
"28","0.7955333333333334","0.7955333333333334","0.7955333333333334","0.7755111111111112","0.7755111111111112","0.7755111111111112","0.7789777777777778","0.7789777777777778","0.7789777777777778","0.7442888888888889","0.7442888888888889","0.7442888888888889","0.7342000000000001","0.7342000000000001","0.7342000000000001"
"29","0.7999333333333334","0.7999333333333334","0.7999333333333334","0.7777333333333334","0.7777333333333334","0.7777333333333334","0.7837777777777778","0.7837777777777778","0.7837777777777778","0.7488","0.7488","0.7488","0.7418666666666667","0.7418666666666667","0.7418666666666667"
"30","0.8027111111111112","0.8027111111111112","0.8027111111111112","0.7819555555555556","0.7819555555555556","0.7819555555555556","0.7881111111111111","0.7881111111111111","0.7881111111111111","0.7534888888888889","0.7534888888888889","0.7534888888888889","0.7473555555555556","0.7473555555555556","0.7473555555555556"
"31","0.8061555555555556","0.8061555555555556","0.8061555555555556","0.7875555555555556","0.7875555555555556","0.7875555555555556","0.7929777777777778","0.7929777777777778","0.7929777777777778","0.7577555555555556","0.7577555555555556","0.7577555555555556","0.7510222222222223","0.7510222222222223","0.7510222222222223"
"32","0.8071555555555556","0.8071555555555556","0.8071555555555556","0.7883555555555556","0.7883555555555556","0.7883555555555556","0.7977777777777778","0.7977777777777778","0.7977777777777778","0.7655555555555555","0.7655555555555555","0.7655555555555555","0.7570444444444445","0.7570444444444445","0.7570444444444445"
"33","0.8111111111111111","0.8111111111111111","0.8111111111111111","0.7942222222222223","0.7942222222222223","0.7942222222222223","0.799","0.799","0.799","0.7632666666666666","0.7632666666666666","0.7632666666666666","0.7570666666666667","0.7570666666666667","0.7570666666666667"
"34","0.8148666666666667","0.8148666666666667","0.8148666666666667","0.7988000000000001","0.7988000000000001","0.7988000000000001","0.8000222222222223","0.8000222222222223","0.8000222222222223","0.7697111111111111","0.7697111111111111","0.7697111111111111","0.7654444444444445","0.7654444444444445","0.7654444444444445"
"35","0.8176","0.8176","0.8176","0.7954888888888889","0.7954888888888889","0.7954888888888889","0.808","0.808","0.808","0.7736000000000001","0.7736000000000001","0.7736000000000001","0.7673777777777778","0.7673777777777778","0.7673777777777778"
"36","0.8187111111111112","0.8187111111111112","0.8187111111111112","0.8016000000000001","0.8016000000000001","0.8016000000000001","0.808088888888889","0.808088888888889","0.808088888888889","0.7765555555555556","0.7765555555555556","0.7765555555555556","0.7746888888888889","0.7746888888888889","0.7746888888888889"
"37","0.8228222222222222","0.8228222222222222","0.8228222222222222","0.807288888888889","0.807288888888889","0.807288888888889","0.8127111111111112","0.8127111111111112","0.8127111111111112","0.7810888888888889","0.7810888888888889","0.7810888888888889","0.7786888888888889","0.7786888888888889","0.7786888888888889"
"38","0.8265333333333333","0.8265333333333333","0.8265333333333333","0.8071555555555556","0.8071555555555556","0.8071555555555556","0.8180000000000001","0.8180000000000001","0.8180000000000001","0.7834","0.7834","0.7834","0.7825111111111112","0.7825111111111112","0.7825111111111112"
"39","0.8272","0.8272","0.8272","0.8088666666666667","0.8088666666666667","0.8088666666666667","0.8196222222222223","0.8196222222222223","0.8196222222222223","0.786088888888889","0.786088888888889","0.786088888888889","0.7889777777777778","0.7889777777777778","0.7889777777777778"
"40","0.8328666666666668","0.8328666666666668","0.8328666666666668","0.8150666666666667","0.8150666666666667","0.8150666666666667","0.8233111111111111","0.8233111111111111","0.8233111111111111","0.7897777777777778","0.7897777777777778","0.7897777777777778","0.7906222222222222","0.7906222222222222","0.7906222222222222"
"41","0.8360444444444445","0.8360444444444445","0.8360444444444445","0.8147111111111112","0.8147111111111112","0.8147111111111112","0.824288888888889","0.824288888888889","0.824288888888889","0.791888888888889","0.791888888888889","0.791888888888889","0.7974","0.7974","0.7974"
"42","0.8367111111111112","0.8367111111111112","0.8367111111111112","0.8172222222222223","0.8172222222222223","0.8172222222222223","0.8318444444444445","0.8318444444444445","0.8318444444444445","0.7968444444444445","0.7968444444444445","0.7968444444444445","0.8014888888888889","0.8014888888888889","0.8014888888888889"
"43","0.8411111111111111","0.8411111111111111","0.8411111111111111","0.8244","0.8244","0.8244","0.8324","0.8324","0.8324","0.7974444444444445","0.7974444444444445","0.7974444444444445","0.8074444444444445","0.8074444444444445","0.8074444444444445"
"44","0.8429555555555556","0.8429555555555556","0.8429555555555556","0.8243111111111111","0.8243111111111111","0.8243111111111111","0.8358","0.8358","0.8358","0.8032","0.8032","0.8032","0.8125555555555556","0.8125555555555556","0.8125555555555556"
"45","0.8459333333333334","0.8459333333333334","0.8459333333333334","0.827288888888889","0.827288888888889","0.827288888888889","0.8380444444444445","0.8380444444444445","0.8380444444444445","0.8085777777777778","0.8085777777777778","0.8085777777777778","0.8176444444444445","0.8176444444444445","0.8176444444444445"
"46","0.8457333333333333","0.8457333333333333","0.8457333333333333","0.8291333333333334","0.8291333333333334","0.8291333333333334","0.8412000000000001","0.8412000000000001","0.8412000000000001","0.8062222222222223","0.8062222222222223","0.8062222222222223","0.8169111111111111","0.8169111111111111","0.8169111111111111"
"47","0.8478444444444445","0.8478444444444445","0.8478444444444445","0.8310888888888889","0.8310888888888889","0.8310888888888889","0.8427555555555556","0.8427555555555556","0.8427555555555556","0.8099777777777778","0.8099777777777778","0.8099777777777778","0.8275777777777779","0.8275777777777779","0.8275777777777779"
"48","0.8498","0.8498","0.8498","0.8361111111111111","0.8361111111111111","0.8361111111111111","0.8473777777777778","0.8473777777777778","0.8473777777777778","0.8180222222222222","0.8180222222222222","0.8180222222222222","0.8320666666666667","0.8320666666666667","0.8320666666666667"
"49","0.8507555555555556","0.8507555555555556","0.8507555555555556","0.8359111111111112","0.8359111111111112","0.8359111111111112","0.8505777777777778","0.8505777777777778","0.8505777777777778","0.8201555555555556","0.8201555555555556","0.8201555555555556","0.834488888888889","0.834488888888889","0.834488888888889"
"50","0.8557333333333333","0.8557333333333333","0.8557333333333333","0.8363555555555556","0.8363555555555556","0.8363555555555556","0.8531555555555556","0.8531555555555556","0.8531555555555556","0.8227555555555556","0.8227555555555556","0.8227555555555556","0.8381333333333334","0.8381333333333334","0.8381333333333334"
"51","0.8596666666666667","0.8596666666666667","0.8596666666666667","0.8396444444444445","0.8396444444444445","0.8396444444444445","0.8551111111111112","0.8551111111111112","0.8551111111111112","0.8231111111111111","0.8231111111111111","0.8231111111111111","0.8486222222222223","0.8486222222222223","0.8486222222222223"
"52","0.8604444444444445","0.8604444444444445","0.8604444444444445","0.8418444444444445","0.8418444444444445","0.8418444444444445","0.8569777777777778","0.8569777777777778","0.8569777777777778","0.8251777777777778","0.8251777777777778","0.8251777777777778","0.8518","0.8518","0.8518"
"53","0.860688888888889","0.860688888888889","0.860688888888889","0.8440000000000001","0.8440000000000001","0.8440000000000001","0.8621777777777778","0.8621777777777778","0.8621777777777778","0.8276444444444445","0.8276444444444445","0.8276444444444445","0.8562000000000001","0.8562000000000001","0.8562000000000001"
"54","0.8622222222222222","0.8622222222222222","0.8622222222222222","0.8474222222222223","0.8474222222222223","0.8474222222222223","0.8682666666666667","0.8682666666666667","0.8682666666666667","0.8334444444444444","0.8334444444444444","0.8334444444444444","0.8600222222222222","0.8600222222222222","0.8600222222222222"
"55","0.8663555555555555","0.8663555555555555","0.8663555555555555","0.848488888888889","0.848488888888889","0.848488888888889","0.8671777777777778","0.8671777777777778","0.8671777777777778","0.8377333333333333","0.8377333333333333","0.8377333333333333","0.8674222222222223","0.8674222222222223","0.8674222222222223"
"56","0.8685111111111111","0.8685111111111111","0.8685111111111111","0.8511777777777778","0.8511777777777778","0.8511777777777778","0.8706222222222223","0.8706222222222223","0.8706222222222223","0.8391555555555555","0.8391555555555555","0.8391555555555555","0.8678","0.8678","0.8678"
"57","0.8687111111111111","0.8687111111111111","0.8687111111111111","0.8550000000000001","0.8550000000000001","0.8550000000000001","0.8731777777777778","0.8731777777777778","0.8731777777777778","0.8411777777777778","0.8411777777777778","0.8411777777777778","0.8729111111111112","0.8729111111111112","0.8729111111111112"
"58","0.8724666666666667","0.8724666666666667","0.8724666666666667","0.8524","0.8524","0.8524","0.8739333333333333","0.8739333333333333","0.8739333333333333","0.8430666666666667","0.8430666666666667","0.8430666666666667","0.8780888888888889","0.8780888888888889","0.8780888888888889"
"59","0.8747333333333334","0.8747333333333334","0.8747333333333334","0.8582000000000001","0.8582000000000001","0.8582000000000001","0.8752888888888889","0.8752888888888889","0.8752888888888889","0.8456888888888889","0.8456888888888889","0.8456888888888889","0.8806666666666667","0.8806666666666667","0.8806666666666667"
"60","0.876688888888889","0.876688888888889","0.876688888888889","0.8569111111111112","0.8569111111111112","0.8569111111111112","0.8798222222222223","0.8798222222222223","0.8798222222222223","0.8492444444444445","0.8492444444444445","0.8492444444444445","0.8845333333333334","0.8845333333333334","0.8845333333333334"
"61","0.876488888888889","0.876488888888889","0.876488888888889","0.8605777777777778","0.8605777777777778","0.8605777777777778","0.8826666666666667","0.8826666666666667","0.8826666666666667","0.8508","0.8508","0.8508","0.8876222222222223","0.8876222222222223","0.8876222222222223"
"62","0.8785777777777778","0.8785777777777778","0.8785777777777778","0.8648666666666667","0.8648666666666667","0.8648666666666667","0.8854666666666667","0.8854666666666667","0.8854666666666667","0.8539777777777778","0.8539777777777778","0.8539777777777778","0.8966222222222223","0.8966222222222223","0.8966222222222223"
"63","0.8799111111111112","0.8799111111111112","0.8799111111111112","0.8633333333333334","0.8633333333333334","0.8633333333333334","0.8881111111111112","0.8881111111111112","0.8881111111111112","0.8556222222222223","0.8556222222222223","0.8556222222222223","0.9012888888888889","0.9012888888888889","0.9012888888888889"
"64","0.8830888888888889","0.8830888888888889","0.8830888888888889","0.8664666666666667","0.8664666666666667","0.8664666666666667","0.8921555555555556","0.8921555555555556","0.8921555555555556","0.8587777777777779","0.8587777777777779","0.8587777777777779","0.9012666666666667","0.9012666666666667","0.9012666666666667"
"65","0.8816222222222223","0.8816222222222223","0.8816222222222223","0.8698888888888889","0.8698888888888889","0.8698888888888889","0.8926222222222223","0.8926222222222223","0.8926222222222223","0.8608444444444445","0.8608444444444445","0.8608444444444445","0.9059111111111111","0.9059111111111111","0.9059111111111111"
"66","0.8867333333333334","0.8867333333333334","0.8867333333333334","0.8688666666666667","0.8688666666666667","0.8688666666666667","0.8932666666666668","0.8932666666666668","0.8932666666666668","0.8629777777777778","0.8629777777777778","0.8629777777777778","0.9092888888888889","0.9092888888888889","0.9092888888888889"
"67","0.8881111111111112","0.8881111111111112","0.8881111111111112","0.8721333333333334","0.8721333333333334","0.8721333333333334","0.8956666666666667","0.8956666666666667","0.8956666666666667","0.8649111111111112","0.8649111111111112","0.8649111111111112","0.9132666666666667","0.9132666666666667","0.9132666666666667"
"68","0.8874888888888889","0.8874888888888889","0.8874888888888889","0.8752000000000001","0.8752000000000001","0.8752000000000001","0.8966000000000001","0.8966000000000001","0.8966000000000001","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.9157555555555555","0.9157555555555555","0.9157555555555555"
"69","0.8900444444444445","0.8900444444444445","0.8900444444444445","0.8754666666666667","0.8754666666666667","0.8754666666666667","0.8990666666666667","0.8990666666666667","0.8990666666666667","0.8696","0.8696","0.8696","0.9188666666666667","0.9188666666666667","0.9188666666666667"
"70","0.8904222222222222","0.8904222222222222","0.8904222222222222","0.8772888888888889","0.8772888888888889","0.8772888888888889","0.9035111111111112","0.9035111111111112","0.9035111111111112","0.8729555555555556","0.8729555555555556","0.8729555555555556","0.9214","0.9214","0.9214"
"71","0.8942666666666667","0.8942666666666667","0.8942666666666667","0.8810888888888889","0.8810888888888889","0.8810888888888889","0.9028","0.9028","0.9028","0.8736444444444444","0.8736444444444444","0.8736444444444444","0.9282222222222223","0.9282222222222223","0.9282222222222223"
"72","0.8954666666666667","0.8954666666666667","0.8954666666666667","0.8796","0.8796","0.8796","0.9040666666666667","0.9040666666666667","0.9040666666666667","0.8781111111111112","0.8781111111111112","0.8781111111111112","0.9262888888888889","0.9262888888888889","0.9262888888888889"
"73","0.8981777777777779","0.8981777777777779","0.8981777777777779","0.8827333333333334","0.8827333333333334","0.8827333333333334","0.9106888888888889","0.9106888888888889","0.9106888888888889","0.8768666666666667","0.8768666666666667","0.8768666666666667","0.9297555555555556","0.9297555555555556","0.9297555555555556"
"74","0.8966444444444445","0.8966444444444445","0.8966444444444445","0.8843333333333334","0.8843333333333334","0.8843333333333334","0.9113555555555556","0.9113555555555556","0.9113555555555556","0.8796666666666667","0.8796666666666667","0.8796666666666667","0.9318444444444445","0.9318444444444445","0.9318444444444445"
"75","0.9009777777777778","0.9009777777777778","0.9009777777777778","0.8889333333333334","0.8889333333333334","0.8889333333333334","0.9108666666666667","0.9108666666666667","0.9108666666666667","0.8817333333333334","0.8817333333333334","0.8817333333333334","0.9358666666666667","0.9358666666666667","0.9358666666666667"
"76","0.9020666666666667","0.9020666666666667","0.9020666666666667","0.888","0.888","0.888","0.9140666666666667","0.9140666666666667","0.9140666666666667","0.883888888888889","0.883888888888889","0.883888888888889","0.9384444444444445","0.9384444444444445","0.9384444444444445"
"77","0.9022888888888889","0.9022888888888889","0.9022888888888889","0.8876000000000001","0.8876000000000001","0.8876000000000001","0.9130444444444444","0.9130444444444444","0.9130444444444444","0.8854444444444445","0.8854444444444445","0.8854444444444445","0.9403333333333334","0.9403333333333334","0.9403333333333334"
"78","0.9054000000000001","0.9054000000000001","0.9054000000000001","0.8918666666666667","0.8918666666666667","0.8918666666666667","0.9169777777777778","0.9169777777777778","0.9169777777777778","0.8894888888888889","0.8894888888888889","0.8894888888888889","0.9412","0.9412","0.9412"
"79","0.904688888888889","0.904688888888889","0.904688888888889","0.8926000000000001","0.8926000000000001","0.8926000000000001","0.9146888888888889","0.9146888888888889","0.9146888888888889","0.8868","0.8868","0.8868","0.9441555555555556","0.9441555555555556","0.9441555555555556"
"80","0.9054888888888889","0.9054888888888889","0.9054888888888889","0.8949333333333334","0.8949333333333334","0.8949333333333334","0.920088888888889","0.920088888888889","0.920088888888889","0.8890888888888889","0.8890888888888889","0.8890888888888889","0.9462444444444444","0.9462444444444444","0.9462444444444444"
"81","0.908","0.908","0.908","0.8952666666666667","0.8952666666666667","0.8952666666666667","0.9199333333333334","0.9199333333333334","0.9199333333333334","0.8902","0.8902","0.8902","0.9477777777777778","0.9477777777777778","0.9477777777777778"
"82","0.9107333333333334","0.9107333333333334","0.9107333333333334","0.8974444444444445","0.8974444444444445","0.8974444444444445","0.9204","0.9204","0.9204","0.8934222222222222","0.8934222222222222","0.8934222222222222","0.9496","0.9496","0.9496"
"83","0.9121777777777779","0.9121777777777779","0.9121777777777779","0.8989333333333334","0.8989333333333334","0.8989333333333334","0.9213333333333333","0.9213333333333333","0.9213333333333333","0.8951111111111112","0.8951111111111112","0.8951111111111112","0.9511333333333334","0.9511333333333334","0.9511333333333334"
"84","0.9130666666666667","0.9130666666666667","0.9130666666666667","0.9022","0.9022","0.9022","0.9235333333333334","0.9235333333333334","0.9235333333333334","0.8936000000000001","0.8936000000000001","0.8936000000000001","0.9548000000000001","0.9548000000000001","0.9548000000000001"
"85","0.9140222222222223","0.9140222222222223","0.9140222222222223","0.9019111111111111","0.9019111111111111","0.9019111111111111","0.9233555555555556","0.9233555555555556","0.9233555555555556","0.8936444444444445","0.8936444444444445","0.8936444444444445","0.9530000000000001","0.9530000000000001","0.9530000000000001"
"86","0.9151555555555556","0.9151555555555556","0.9151555555555556","0.9039333333333334","0.9039333333333334","0.9039333333333334","0.9252222222222223","0.9252222222222223","0.9252222222222223","0.8937333333333334","0.8937333333333334","0.8937333333333334","0.9530444444444445","0.9530444444444445","0.9530444444444445"
"87","0.9143777777777778","0.9143777777777778","0.9143777777777778","0.9068222222222223","0.9068222222222223","0.9068222222222223","0.9243777777777779","0.9243777777777779","0.9243777777777779","0.8971333333333333","0.8971333333333333","0.8971333333333333","0.9560444444444445","0.9560444444444445","0.9560444444444445"
"88","0.9162888888888889","0.9162888888888889","0.9162888888888889","0.9064000000000001","0.9064000000000001","0.9064000000000001","0.927","0.927","0.927","0.8979777777777779","0.8979777777777779","0.8979777777777779","0.9560222222222222","0.9560222222222222","0.9560222222222222"
"89","0.9197111111111111","0.9197111111111111","0.9197111111111111","0.9072222222222223","0.9072222222222223","0.9072222222222223","0.927088888888889","0.927088888888889","0.927088888888889","0.9026444444444445","0.9026444444444445","0.9026444444444445","0.9571111111111111","0.9571111111111111","0.9571111111111111"
"90","0.9196222222222222","0.9196222222222222","0.9196222222222222","0.9090222222222223","0.9090222222222223","0.9090222222222223","0.9280222222222223","0.9280222222222223","0.9280222222222223","0.8993333333333334","0.8993333333333334","0.8993333333333334","0.9587333333333333","0.9587333333333333","0.9587333333333333"
"91","0.9235555555555556","0.9235555555555556","0.9235555555555556","0.9116888888888889","0.9116888888888889","0.9116888888888889","0.927","0.927","0.927","0.8993777777777778","0.8993777777777778","0.8993777777777778","0.9596444444444445","0.9596444444444445","0.9596444444444445"
"92","0.9220666666666667","0.9220666666666667","0.9220666666666667","0.9122666666666667","0.9122666666666667","0.9122666666666667","0.9275777777777778","0.9275777777777778","0.9275777777777778","0.9004000000000001","0.9004000000000001","0.9004000000000001","0.9606888888888889","0.9606888888888889","0.9606888888888889"
"93","0.9233555555555556","0.9233555555555556","0.9233555555555556","0.9115111111111112","0.9115111111111112","0.9115111111111112","0.9288000000000001","0.9288000000000001","0.9288000000000001","0.9010888888888889","0.9010888888888889","0.9010888888888889","0.9592222222222223","0.9592222222222223","0.9592222222222223"
"94","0.9246888888888889","0.9246888888888889","0.9246888888888889","0.9155555555555556","0.9155555555555556","0.9155555555555556","0.9284","0.9284","0.9284","0.9004000000000001","0.9004000000000001","0.9004000000000001","0.9610444444444445","0.9610444444444445","0.9610444444444445"
"95","0.9262888888888889","0.9262888888888889","0.9262888888888889","0.915","0.915","0.915","0.9293111111111112","0.9293111111111112","0.9293111111111112","0.9028222222222223","0.9028222222222223","0.9028222222222223","0.9604444444444445","0.9604444444444445","0.9604444444444445"
"96","0.9265111111111112","0.9265111111111112","0.9265111111111112","0.9174888888888889","0.9174888888888889","0.9174888888888889","0.9281111111111111","0.9281111111111111","0.9281111111111111","0.9017111111111111","0.9017111111111111","0.9017111111111111","0.9603777777777778","0.9603777777777778","0.9603777777777778"
"97","0.9287333333333334","0.9287333333333334","0.9287333333333334","0.9177777777777778","0.9177777777777778","0.9177777777777778","0.9293555555555556","0.9293555555555556","0.9293555555555556","0.901888888888889","0.901888888888889","0.901888888888889","0.9615777777777779","0.9615777777777779","0.9615777777777779"
"98","0.9319777777777778","0.9319777777777778","0.9319777777777778","0.9174444444444445","0.9174444444444445","0.9174444444444445","0.9303555555555556","0.9303555555555556","0.9303555555555556","0.9019333333333334","0.9019333333333334","0.9019333333333334","0.9620444444444445","0.9620444444444445","0.9620444444444445"
"99","0.9296666666666668","0.9296666666666668","0.9296666666666668","0.92","0.92","0.92","0.9307777777777778","0.9307777777777778","0.9307777777777778","0.9020666666666667","0.9020666666666667","0.9020666666666667","0.9606","0.9606","0.9606"