"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"0","0.3332","0.3332","0.3332","0.371","0.371","0.371","0.46680000000000005","0.46680000000000005","0.46680000000000005","0.45520000000000005","0.45520000000000005","0.45520000000000005","0.4194","0.4194","0.4194"
"1","0.4698","0.4698","0.4698","0.46680000000000005","0.46680000000000005","0.46680000000000005","0.5446","0.5446","0.5446","0.5082","0.5082","0.5082","0.5054000000000001","0.5054000000000001","0.5054000000000001"
"2","0.5314","0.5314","0.5314","0.5132","0.5132","0.5132","0.5872","0.5872","0.5872","0.534","0.534","0.534","0.532","0.532","0.532"
"3","0.5562","0.5562","0.5562","0.5454","0.5454","0.5454","0.5984","0.5984","0.5984","0.5738","0.5738","0.5738","0.5676","0.5676","0.5676"
"4","0.6062000000000001","0.6062000000000001","0.6062000000000001","0.5904","0.5904","0.5904","0.623","0.623","0.623","0.5910000000000001","0.5910000000000001","0.5910000000000001","0.5764","0.5764","0.5764"
"5","0.624","0.624","0.624","0.6004","0.6004","0.6004","0.6332","0.6332","0.6332","0.6106","0.6106","0.6106","0.5898","0.5898","0.5898"
"6","0.64","0.64","0.64","0.628","0.628","0.628","0.6584","0.6584","0.6584","0.605","0.605","0.605","0.5760000000000001","0.5760000000000001","0.5760000000000001"
"7","0.6426000000000001","0.6426000000000001","0.6426000000000001","0.6346","0.6346","0.6346","0.66","0.66","0.66","0.6322","0.6322","0.6322","0.5932000000000001","0.5932000000000001","0.5932000000000001"
"8","0.6476000000000001","0.6476000000000001","0.6476000000000001","0.6528","0.6528","0.6528","0.6662","0.6662","0.6662","0.6152000000000001","0.6152000000000001","0.6152000000000001","0.6076","0.6076","0.6076"
"9","0.663","0.663","0.663","0.6652","0.6652","0.6652","0.672","0.672","0.672","0.6444000000000001","0.6444000000000001","0.6444000000000001","0.633","0.633","0.633"
"10","0.6752","0.6752","0.6752","0.6628000000000001","0.6628000000000001","0.6628000000000001","0.6822","0.6822","0.6822","0.634","0.634","0.634","0.6346","0.6346","0.6346"
"11","0.6756","0.6756","0.6756","0.6736000000000001","0.6736000000000001","0.6736000000000001","0.6792","0.6792","0.6792","0.6344000000000001","0.6344000000000001","0.6344000000000001","0.6354000000000001","0.6354000000000001","0.6354000000000001"
"12","0.6876","0.6876","0.6876","0.6964","0.6964","0.6964","0.7044","0.7044","0.7044","0.653","0.653","0.653","0.6398","0.6398","0.6398"
"13","0.6764","0.6764","0.6764","0.6784","0.6784","0.6784","0.6968000000000001","0.6968000000000001","0.6968000000000001","0.6608","0.6608","0.6608","0.6558","0.6558","0.6558"
"14","0.6742","0.6742","0.6742","0.6932","0.6932","0.6932","0.7030000000000001","0.7030000000000001","0.7030000000000001","0.6586000000000001","0.6586000000000001","0.6586000000000001","0.656","0.656","0.656"
"15","0.6910000000000001","0.6910000000000001","0.6910000000000001","0.7016","0.7016","0.7016","0.7114","0.7114","0.7114","0.6696000000000001","0.6696000000000001","0.6696000000000001","0.6522","0.6522","0.6522"
"16","0.6836","0.6836","0.6836","0.6992","0.6992","0.6992","0.7216","0.7216","0.7216","0.6644","0.6644","0.6644","0.6592","0.6592","0.6592"
"17","0.7024","0.7024","0.7024","0.7036","0.7036","0.7036","0.7212000000000001","0.7212000000000001","0.7212000000000001","0.6728000000000001","0.6728000000000001","0.6728000000000001","0.657","0.657","0.657"
"18","0.6954","0.6954","0.6954","0.7088","0.7088","0.7088","0.7308","0.7308","0.7308","0.6718000000000001","0.6718000000000001","0.6718000000000001","0.6552","0.6552","0.6552"
"19","0.7022","0.7022","0.7022","0.7162000000000001","0.7162000000000001","0.7162000000000001","0.7312000000000001","0.7312000000000001","0.7312000000000001","0.6836","0.6836","0.6836","0.659","0.659","0.659"
"20","0.7028","0.7028","0.7028","0.7106","0.7106","0.7106","0.7386","0.7386","0.7386","0.6920000000000001","0.6920000000000001","0.6920000000000001","0.6484","0.6484","0.6484"
"21","0.7004","0.7004","0.7004","0.7112","0.7112","0.7112","0.7422000000000001","0.7422000000000001","0.7422000000000001","0.6878000000000001","0.6878000000000001","0.6878000000000001","0.6636000000000001","0.6636000000000001","0.6636000000000001"
"22","0.7100000000000001","0.7100000000000001","0.7100000000000001","0.7248","0.7248","0.7248","0.7366","0.7366","0.7366","0.6998000000000001","0.6998000000000001","0.6998000000000001","0.6708000000000001","0.6708000000000001","0.6708000000000001"
"23","0.7062","0.7062","0.7062","0.7118","0.7118","0.7118","0.7406","0.7406","0.7406","0.6924","0.6924","0.6924","0.6766","0.6766","0.6766"
"24","0.7124","0.7124","0.7124","0.7178","0.7178","0.7178","0.7244","0.7244","0.7244","0.7006","0.7006","0.7006","0.6638000000000001","0.6638000000000001","0.6638000000000001"
"25","0.7112","0.7112","0.7112","0.7250000000000001","0.7250000000000001","0.7250000000000001","0.748","0.748","0.748","0.7084","0.7084","0.7084","0.6816","0.6816","0.6816"
"26","0.7074","0.7074","0.7074","0.7242000000000001","0.7242000000000001","0.7242000000000001","0.7426","0.7426","0.7426","0.7096","0.7096","0.7096","0.6802","0.6802","0.6802"
"27","0.7058","0.7058","0.7058","0.7276","0.7276","0.7276","0.7378","0.7378","0.7378","0.7116","0.7116","0.7116","0.6824","0.6824","0.6824"
"28","0.7002","0.7002","0.7002","0.7314","0.7314","0.7314","0.753","0.753","0.753","0.7060000000000001","0.7060000000000001","0.7060000000000001","0.6742","0.6742","0.6742"
"29","0.7110000000000001","0.7110000000000001","0.7110000000000001","0.7274","0.7274","0.7274","0.758","0.758","0.758","0.6974","0.6974","0.6974","0.677","0.677","0.677"
"30","0.7104","0.7104","0.7104","0.7278","0.7278","0.7278","0.7578","0.7578","0.7578","0.7254","0.7254","0.7254","0.6752","0.6752","0.6752"
"31","0.6974","0.6974","0.6974","0.7250000000000001","0.7250000000000001","0.7250000000000001","0.7616","0.7616","0.7616","0.7124","0.7124","0.7124","0.6858000000000001","0.6858000000000001","0.6858000000000001"
"32","0.7246","0.7246","0.7246","0.7282000000000001","0.7282000000000001","0.7282000000000001","0.7618","0.7618","0.7618","0.7206","0.7206","0.7206","0.6774","0.6774","0.6774"
"33","0.7160000000000001","0.7160000000000001","0.7160000000000001","0.7344","0.7344","0.7344","0.7604000000000001","0.7604000000000001","0.7604000000000001","0.7174","0.7174","0.7174","0.6866","0.6866","0.6866"
"34","0.7108","0.7108","0.7108","0.7316","0.7316","0.7316","0.7498","0.7498","0.7498","0.7264","0.7264","0.7264","0.6910000000000001","0.6910000000000001","0.6910000000000001"
"35","0.7148","0.7148","0.7148","0.7336","0.7336","0.7336","0.7522000000000001","0.7522000000000001","0.7522000000000001","0.7152000000000001","0.7152000000000001","0.7152000000000001","0.6738000000000001","0.6738000000000001","0.6738000000000001"
"36","0.7108","0.7108","0.7108","0.7242000000000001","0.7242000000000001","0.7242000000000001","0.7562","0.7562","0.7562","0.7254","0.7254","0.7254","0.6822","0.6822","0.6822"
"37","0.7246","0.7246","0.7246","0.733","0.733","0.733","0.7584000000000001","0.7584000000000001","0.7584000000000001","0.7314","0.7314","0.7314","0.6786","0.6786","0.6786"
"38","0.7078","0.7078","0.7078","0.7358","0.7358","0.7358","0.7626000000000001","0.7626000000000001","0.7626000000000001","0.7282000000000001","0.7282000000000001","0.7282000000000001","0.6792","0.6792","0.6792"
"39","0.7114","0.7114","0.7114","0.7388","0.7388","0.7388","0.7626000000000001","0.7626000000000001","0.7626000000000001","0.7342000000000001","0.7342000000000001","0.7342000000000001","0.6802","0.6802","0.6802"
"40","0.7198","0.7198","0.7198","0.729","0.729","0.729","0.7642","0.7642","0.7642","0.735","0.735","0.735","0.6844","0.6844","0.6844"
"41","0.7188","0.7188","0.7188","0.7288","0.7288","0.7288","0.7602","0.7602","0.7602","0.7216","0.7216","0.7216","0.6796","0.6796","0.6796"
"42","0.7264","0.7264","0.7264","0.7318","0.7318","0.7318","0.7606","0.7606","0.7606","0.7288","0.7288","0.7288","0.6862","0.6862","0.6862"
"43","0.7248","0.7248","0.7248","0.7234","0.7234","0.7234","0.7674000000000001","0.7674000000000001","0.7674000000000001","0.7336","0.7336","0.7336","0.6816","0.6816","0.6816"
"44","0.7238","0.7238","0.7238","0.7418","0.7418","0.7418","0.7624000000000001","0.7624000000000001","0.7624000000000001","0.7346","0.7346","0.7346","0.6816","0.6816","0.6816"
"45","0.7272000000000001","0.7272000000000001","0.7272000000000001","0.7348","0.7348","0.7348","0.7596","0.7596","0.7596","0.7324","0.7324","0.7324","0.6794","0.6794","0.6794"
"46","0.7210000000000001","0.7210000000000001","0.7210000000000001","0.7254","0.7254","0.7254","0.7622","0.7622","0.7622","0.7292000000000001","0.7292000000000001","0.7292000000000001","0.6884","0.6884","0.6884"
"47","0.7216","0.7216","0.7216","0.7464000000000001","0.7464000000000001","0.7464000000000001","0.7626000000000001","0.7626000000000001","0.7626000000000001","0.7312000000000001","0.7312000000000001","0.7312000000000001","0.6880000000000001","0.6880000000000001","0.6880000000000001"
"48","0.7184","0.7184","0.7184","0.747","0.747","0.747","0.7692","0.7692","0.7692","0.7298","0.7298","0.7298","0.6874","0.6874","0.6874"
"49","0.73","0.73","0.73","0.737","0.737","0.737","0.7646000000000001","0.7646000000000001","0.7646000000000001","0.7292000000000001","0.7292000000000001","0.7292000000000001","0.6896","0.6896","0.6896"
"50","0.7298","0.7298","0.7298","0.7364","0.7364","0.7364","0.7744000000000001","0.7744000000000001","0.7744000000000001","0.734","0.734","0.734","0.6856","0.6856","0.6856"
"51","0.7218","0.7218","0.7218","0.7344","0.7344","0.7344","0.7766000000000001","0.7766000000000001","0.7766000000000001","0.7424000000000001","0.7424000000000001","0.7424000000000001","0.681","0.681","0.681"
"52","0.7180000000000001","0.7180000000000001","0.7180000000000001","0.7334","0.7334","0.7334","0.7734000000000001","0.7734000000000001","0.7734000000000001","0.7398","0.7398","0.7398","0.6940000000000001","0.6940000000000001","0.6940000000000001"
"53","0.7220000000000001","0.7220000000000001","0.7220000000000001","0.7412000000000001","0.7412000000000001","0.7412000000000001","0.7768","0.7768","0.7768","0.7448","0.7448","0.7448","0.6892","0.6892","0.6892"
"54","0.7248","0.7248","0.7248","0.7306","0.7306","0.7306","0.7702","0.7702","0.7702","0.7536","0.7536","0.7536","0.6834","0.6834","0.6834"
"55","0.732","0.732","0.732","0.7414000000000001","0.7414000000000001","0.7414000000000001","0.7614000000000001","0.7614000000000001","0.7614000000000001","0.7484000000000001","0.7484000000000001","0.7484000000000001","0.6872","0.6872","0.6872"
"56","0.7238","0.7238","0.7238","0.7288","0.7288","0.7288","0.7756000000000001","0.7756000000000001","0.7756000000000001","0.7494000000000001","0.7494000000000001","0.7494000000000001","0.6844","0.6844","0.6844"
"57","0.7230000000000001","0.7230000000000001","0.7230000000000001","0.7438","0.7438","0.7438","0.7754000000000001","0.7754000000000001","0.7754000000000001","0.7436","0.7436","0.7436","0.6854","0.6854","0.6854"
"58","0.7316","0.7316","0.7316","0.7438","0.7438","0.7438","0.7776000000000001","0.7776000000000001","0.7776000000000001","0.7484000000000001","0.7484000000000001","0.7484000000000001","0.6928000000000001","0.6928000000000001","0.6928000000000001"
"59","0.7294","0.7294","0.7294","0.7416","0.7416","0.7416","0.7702","0.7702","0.7702","0.7488","0.7488","0.7488","0.6920000000000001","0.6920000000000001","0.6920000000000001"
"60","0.7278","0.7278","0.7278","0.7424000000000001","0.7424000000000001","0.7424000000000001","0.7694000000000001","0.7694000000000001","0.7694000000000001","0.7496","0.7496","0.7496","0.6828000000000001","0.6828000000000001","0.6828000000000001"
"61","0.7292000000000001","0.7292000000000001","0.7292000000000001","0.7438","0.7438","0.7438","0.7722","0.7722","0.7722","0.75","0.75","0.75","0.6898000000000001","0.6898000000000001","0.6898000000000001"
"62","0.7318","0.7318","0.7318","0.7398","0.7398","0.7398","0.7786000000000001","0.7786000000000001","0.7786000000000001","0.7468","0.7468","0.7468","0.6888000000000001","0.6888000000000001","0.6888000000000001"
"63","0.7188","0.7188","0.7188","0.7428","0.7428","0.7428","0.7736000000000001","0.7736000000000001","0.7736000000000001","0.7474000000000001","0.7474000000000001","0.7474000000000001","0.687","0.687","0.687"
"64","0.7240000000000001","0.7240000000000001","0.7240000000000001","0.747","0.747","0.747","0.778","0.778","0.778","0.7512000000000001","0.7512000000000001","0.7512000000000001","0.6882","0.6882","0.6882"
"65","0.7180000000000001","0.7180000000000001","0.7180000000000001","0.739","0.739","0.739","0.7758","0.7758","0.7758","0.7474000000000001","0.7474000000000001","0.7474000000000001","0.6912","0.6912","0.6912"
"66","0.7278","0.7278","0.7278","0.7478","0.7478","0.7478","0.7708","0.7708","0.7708","0.746","0.746","0.746","0.6914","0.6914","0.6914"
"67","0.7322000000000001","0.7322000000000001","0.7322000000000001","0.7474000000000001","0.7474000000000001","0.7474000000000001","0.7776000000000001","0.7776000000000001","0.7776000000000001","0.7452000000000001","0.7452000000000001","0.7452000000000001","0.6892","0.6892","0.6892"
"68","0.7238","0.7238","0.7238","0.7428","0.7428","0.7428","0.7832","0.7832","0.7832","0.7552","0.7552","0.7552","0.6834","0.6834","0.6834"
"69","0.7332000000000001","0.7332000000000001","0.7332000000000001","0.7408","0.7408","0.7408","0.774","0.774","0.774","0.7478","0.7478","0.7478","0.6916","0.6916","0.6916"
"70","0.7268","0.7268","0.7268","0.7316","0.7316","0.7316","0.7798","0.7798","0.7798","0.752","0.752","0.752","0.6888000000000001","0.6888000000000001","0.6888000000000001"
"71","0.7222000000000001","0.7222000000000001","0.7222000000000001","0.74","0.74","0.74","0.7718","0.7718","0.7718","0.7508","0.7508","0.7508","0.6910000000000001","0.6910000000000001","0.6910000000000001"
"72","0.7248","0.7248","0.7248","0.7434000000000001","0.7434000000000001","0.7434000000000001","0.7748","0.7748","0.7748","0.7514000000000001","0.7514000000000001","0.7514000000000001","0.6926","0.6926","0.6926"
"73","0.7302000000000001","0.7302000000000001","0.7302000000000001","0.7424000000000001","0.7424000000000001","0.7424000000000001","0.775","0.775","0.775","0.7522000000000001","0.7522000000000001","0.7522000000000001","0.6876","0.6876","0.6876"
"74","0.7286","0.7286","0.7286","0.744","0.744","0.744","0.776","0.776","0.776","0.7508","0.7508","0.7508","0.6898000000000001","0.6898000000000001","0.6898000000000001"
"75","0.7304","0.7304","0.7304","0.733","0.733","0.733","0.7738","0.7738","0.7738","0.7516","0.7516","0.7516","0.6932","0.6932","0.6932"
"76","0.7278","0.7278","0.7278","0.7424000000000001","0.7424000000000001","0.7424000000000001","0.7776000000000001","0.7776000000000001","0.7776000000000001","0.7546","0.7546","0.7546","0.6906","0.6906","0.6906"
"77","0.7332000000000001","0.7332000000000001","0.7332000000000001","0.7426","0.7426","0.7426","0.776","0.776","0.776","0.7504000000000001","0.7504000000000001","0.7504000000000001","0.6918000000000001","0.6918000000000001","0.6918000000000001"
"78","0.7298","0.7298","0.7298","0.7344","0.7344","0.7344","0.7834","0.7834","0.7834","0.7512000000000001","0.7512000000000001","0.7512000000000001","0.6932","0.6932","0.6932"
"79","0.729","0.729","0.729","0.7402000000000001","0.7402000000000001","0.7402000000000001","0.777","0.777","0.777","0.7502000000000001","0.7502000000000001","0.7502000000000001","0.6924","0.6924","0.6924"
"80","0.733","0.733","0.733","0.7408","0.7408","0.7408","0.7742","0.7742","0.7742","0.7524000000000001","0.7524000000000001","0.7524000000000001","0.6944","0.6944","0.6944"
"81","0.7298","0.7298","0.7298","0.7374","0.7374","0.7374","0.7782","0.7782","0.7782","0.7506","0.7506","0.7506","0.6950000000000001","0.6950000000000001","0.6950000000000001"
"82","0.73","0.73","0.73","0.7416","0.7416","0.7416","0.7778","0.7778","0.7778","0.7484000000000001","0.7484000000000001","0.7484000000000001","0.6958000000000001","0.6958000000000001","0.6958000000000001"
"83","0.7304","0.7304","0.7304","0.7436","0.7436","0.7436","0.7766000000000001","0.7766000000000001","0.7766000000000001","0.7478","0.7478","0.7478","0.6946","0.6946","0.6946"
"84","0.727","0.727","0.727","0.738","0.738","0.738","0.7748","0.7748","0.7748","0.7514000000000001","0.7514000000000001","0.7514000000000001","0.6932","0.6932","0.6932"
"85","0.7324","0.7324","0.7324","0.7426","0.7426","0.7426","0.7808","0.7808","0.7808","0.7516","0.7516","0.7516","0.6942","0.6942","0.6942"
"86","0.7254","0.7254","0.7254","0.7384000000000001","0.7384000000000001","0.7384000000000001","0.78","0.78","0.78","0.7532","0.7532","0.7532","0.6958000000000001","0.6958000000000001","0.6958000000000001"
"87","0.7258","0.7258","0.7258","0.7396","0.7396","0.7396","0.7762","0.7762","0.7762","0.7512000000000001","0.7512000000000001","0.7512000000000001","0.6972","0.6972","0.6972"
"88","0.7312000000000001","0.7312000000000001","0.7312000000000001","0.7406","0.7406","0.7406","0.778","0.778","0.778","0.7538","0.7538","0.7538","0.6968000000000001","0.6968000000000001","0.6968000000000001"
"89","0.7180000000000001","0.7180000000000001","0.7180000000000001","0.739","0.739","0.739","0.7776000000000001","0.7776000000000001","0.7776000000000001","0.7542","0.7542","0.7542","0.6952","0.6952","0.6952"
"90","0.7254","0.7254","0.7254","0.7336","0.7336","0.7336","0.778","0.778","0.778","0.754","0.754","0.754","0.6980000000000001","0.6980000000000001","0.6980000000000001"
"91","0.733","0.733","0.733","0.742","0.742","0.742","0.778","0.778","0.778","0.7554000000000001","0.7554000000000001","0.7554000000000001","0.6958000000000001","0.6958000000000001","0.6958000000000001"
"92","0.7276","0.7276","0.7276","0.7438","0.7438","0.7438","0.7802","0.7802","0.7802","0.7544000000000001","0.7544000000000001","0.7544000000000001","0.6968000000000001","0.6968000000000001","0.6968000000000001"
"93","0.7342000000000001","0.7342000000000001","0.7342000000000001","0.74","0.74","0.74","0.779","0.779","0.779","0.7546","0.7546","0.7546","0.6960000000000001","0.6960000000000001","0.6960000000000001"
"94","0.734","0.734","0.734","0.745","0.745","0.745","0.7802","0.7802","0.7802","0.753","0.753","0.753","0.6976","0.6976","0.6976"
"95","0.7356","0.7356","0.7356","0.7448","0.7448","0.7448","0.7802","0.7802","0.7802","0.754","0.754","0.754","0.6984","0.6984","0.6984"
"96","0.7354","0.7354","0.7354","0.7404000000000001","0.7404000000000001","0.7404000000000001","0.7802","0.7802","0.7802","0.7536","0.7536","0.7536","0.6988000000000001","0.6988000000000001","0.6988000000000001"
"97","0.732","0.732","0.732","0.7428","0.7428","0.7428","0.7804","0.7804","0.7804","0.7534000000000001","0.7534000000000001","0.7534000000000001","0.6978000000000001","0.6978000000000001","0.6978000000000001"
"98","0.729","0.729","0.729","0.7446","0.7446","0.7446","0.7812","0.7812","0.7812","0.7538","0.7538","0.7538","0.6980000000000001","0.6980000000000001","0.6980000000000001"
"99","0.7248","0.7248","0.7248","0.7396","0.7396","0.7396","0.781","0.781","0.781","0.7536","0.7536","0.7536","0.6982","0.6982","0.6982"