"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX"
"0","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.6996849842492124","0.6996849842492124","0.6996849842492124","0.5863293164658233","0.5863293164658233","0.5863293164658233","0.6649832491624581","0.6649832491624581","0.6649832491624581","0.6867843392169608","0.6867843392169608","0.6867843392169608"
"1","0.584829241462073","0.584829241462073","0.584829241462073","0.9128956447822391","0.9128956447822391","0.9128956447822391","0.663783189159458","0.663783189159458","0.663783189159458","0.8910445522276114","0.8910445522276114","0.8910445522276114","0.8284414220711035","0.8284414220711035","0.8284414220711035"
"2","0.8400420021001049","0.8400420021001049","0.8400420021001049","0.9341467073353668","0.9341467073353668","0.9341467073353668","0.711885594279714","0.711885594279714","0.711885594279714","0.9248462423121155","0.9248462423121155","0.9248462423121155","0.8704435221761088","0.8704435221761088","0.8704435221761088"
"3","0.9033951697584879","0.9033951697584879","0.9033951697584879","0.9424471223561177","0.9424471223561177","0.9424471223561177","0.7593879693984699","0.7593879693984699","0.7593879693984699","0.9387969398469923","0.9387969398469923","0.9387969398469923","0.872043602180109","0.872043602180109","0.872043602180109"
"4","0.9310465523276164","0.9310465523276164","0.9310465523276164","0.9434471723586179","0.9434471723586179","0.9434471723586179","0.8216910845542277","0.8216910845542277","0.8216910845542277","0.9464473223661183","0.9464473223661183","0.9464473223661183","0.9138956947847392","0.9138956947847392","0.9138956947847392"
"5","0.9421971098554928","0.9421971098554928","0.9421971098554928","0.9484474223711186","0.9484474223711186","0.9484474223711186","0.8517425871293565","0.8517425871293565","0.8517425871293565","0.9538976948847442","0.9538976948847442","0.9538976948847442","0.9253962698134907","0.9253962698134907","0.9253962698134907"
"6","0.9487974398719936","0.9487974398719936","0.9487974398719936","0.9511475573778688","0.9511475573778688","0.9511475573778688","0.8758937946897345","0.8758937946897345","0.8758937946897345","0.9546977348867443","0.9546977348867443","0.9546977348867443","0.9322466123306165","0.9322466123306165","0.9322466123306165"
"7","0.9480474023701184","0.9480474023701184","0.9480474023701184","0.9565478273913696","0.9565478273913696","0.9565478273913696","0.8903945197259863","0.8903945197259863","0.8903945197259863","0.9603480174008701","0.9603480174008701","0.9603480174008701","0.9238961948097405","0.9238961948097405","0.9238961948097405"
"8","0.9527476373818691","0.9527476373818691","0.9527476373818691","0.9615480774038702","0.9615480774038702","0.9615480774038702","0.8976448822441122","0.8976448822441122","0.8976448822441122","0.9614480724036202","0.9614480724036202","0.9614480724036202","0.9399469973498674","0.9399469973498674","0.9399469973498674"
"9","0.9557477873893694","0.9557477873893694","0.9557477873893694","0.9617980899044952","0.9617980899044952","0.9617980899044952","0.9053452672633632","0.9053452672633632","0.9053452672633632","0.9637981899094954","0.9637981899094954","0.9637981899094954","0.9380469023451172","0.9380469023451172","0.9380469023451172"
"10","0.9582479123956198","0.9582479123956198","0.9582479123956198","0.9619980999049952","0.9619980999049952","0.9619980999049952","0.9088954447722386","0.9088954447722386","0.9088954447722386","0.9630981549077453","0.9630981549077453","0.9630981549077453","0.944797239861993","0.944797239861993","0.944797239861993"
"11","0.9607980399019951","0.9607980399019951","0.9607980399019951","0.9641982099104955","0.9641982099104955","0.9641982099104955","0.9135456772838642","0.9135456772838642","0.9135456772838642","0.9631481574078704","0.9631481574078704","0.9631481574078704","0.9451472573628681","0.9451472573628681","0.9451472573628681"
"12","0.9620981049052453","0.9620981049052453","0.9620981049052453","0.9650982549127456","0.9650982549127456","0.9650982549127456","0.9187959397969898","0.9187959397969898","0.9187959397969898","0.9624481224061203","0.9624481224061203","0.9624481224061203","0.9445972298614931","0.9445972298614931","0.9445972298614931"
"13","0.9641982099104955","0.9641982099104955","0.9641982099104955","0.9644982249112455","0.9644982249112455","0.9644982249112455","0.9171958597929896","0.9171958597929896","0.9171958597929896","0.9649482474123706","0.9649482474123706","0.9649482474123706","0.9481474073703685","0.9481474073703685","0.9481474073703685"
"14","0.9649982499124956","0.9649982499124956","0.9649982499124956","0.9649482474123706","0.9649482474123706","0.9649482474123706","0.9176958847942397","0.9176958847942397","0.9176958847942397","0.9631481574078704","0.9631481574078704","0.9631481574078704","0.9487474373718685","0.9487474373718685","0.9487474373718685"
"15","0.9643482174108705","0.9643482174108705","0.9643482174108705","0.9653982699134956","0.9653982699134956","0.9653982699134956","0.9271463573178659","0.9271463573178659","0.9271463573178659","0.9644982249112455","0.9644982249112455","0.9644982249112455","0.9499974998749937","0.9499974998749937","0.9499974998749937"
"16","0.9678983949197459","0.9678983949197459","0.9678983949197459","0.9663483174158708","0.9663483174158708","0.9663483174158708","0.9229961498074903","0.9229961498074903","0.9229961498074903","0.9666983349167458","0.9666983349167458","0.9666983349167458","0.9498974948747437","0.9498974948747437","0.9498974948747437"
"17","0.9670983549177459","0.9670983549177459","0.9670983549177459","0.9661483074153707","0.9661483074153707","0.9661483074153707","0.9252962648132407","0.9252962648132407","0.9252962648132407","0.9633981699084954","0.9633981699084954","0.9633981699084954","0.9473473673683683","0.9473473673683683","0.9473473673683683"
"18","0.9670483524176209","0.9670483524176209","0.9670483524176209","0.9673983699184959","0.9673983699184959","0.9673983699184959","0.9263463173158658","0.9263463173158658","0.9263463173158658","0.9647982399119955","0.9647982399119955","0.9647982399119955","0.9491474573728687","0.9491474573728687","0.9491474573728687"
"19","0.9669983499174958","0.9669983499174958","0.9669983499174958","0.9673483674183708","0.9673483674183708","0.9673483674183708","0.9301965098254913","0.9301965098254913","0.9301965098254913","0.9666983349167458","0.9666983349167458","0.9666983349167458","0.9506975348767438","0.9506975348767438","0.9506975348767438"
"20","0.9680484024201209","0.9680484024201209","0.9680484024201209","0.968098404920246","0.968098404920246","0.968098404920246","0.9304965248262412","0.9304965248262412","0.9304965248262412","0.9666483324166208","0.9666483324166208","0.9666483324166208","0.9436471823591179","0.9436471823591179","0.9436471823591179"
"21","0.9664983249162458","0.9664983249162458","0.9664983249162458","0.9660983049152457","0.9660983049152457","0.9660983049152457","0.9280464023201159","0.9280464023201159","0.9280464023201159","0.9663983199159958","0.9663983199159958","0.9663983199159958","0.9488974448722436","0.9488974448722436","0.9488974448722436"
"22","0.968198409920496","0.968198409920496","0.968198409920496","0.969048452422621","0.969048452422621","0.969048452422621","0.9288964448222411","0.9288964448222411","0.9288964448222411","0.967798389919496","0.967798389919496","0.967798389919496","0.9527476373818691","0.9527476373818691","0.9527476373818691"
"23","0.9706485324266213","0.9706485324266213","0.9706485324266213","0.968748437421871","0.968748437421871","0.968748437421871","0.928196409820491","0.928196409820491","0.928196409820491","0.9657982899144957","0.9657982899144957","0.9657982899144957","0.9508475423771188","0.9508475423771188","0.9508475423771188"
"24","0.9692484624231211","0.9692484624231211","0.9692484624231211","0.9675983799189959","0.9675983799189959","0.9675983799189959","0.9303965198259913","0.9303965198259913","0.9303965198259913","0.9673483674183708","0.9673483674183708","0.9673483674183708","0.952547627381369","0.952547627381369","0.952547627381369"
"25","0.9704985249262462","0.9704985249262462","0.9704985249262462","0.968248412420621","0.968248412420621","0.968248412420621","0.9298964948247412","0.9298964948247412","0.9298964948247412","0.968698434921746","0.968698434921746","0.968698434921746","0.9495974798739937","0.9495974798739937","0.9495974798739937"
"26","0.9692484624231211","0.9692484624231211","0.9692484624231211","0.9673483674183708","0.9673483674183708","0.9673483674183708","0.9308965448272414","0.9308965448272414","0.9308965448272414","0.9684484224211211","0.9684484224211211","0.9684484224211211","0.952547627381369","0.952547627381369","0.952547627381369"
"27","0.9694484724236211","0.9694484724236211","0.9694484724236211","0.968198409920496","0.968198409920496","0.968198409920496","0.9310465523276164","0.9310465523276164","0.9310465523276164","0.9663983199159958","0.9663983199159958","0.9663983199159958","0.9527976398819941","0.9527976398819941","0.9527976398819941"
"28","0.9714985749287464","0.9714985749287464","0.9714985749287464","0.9692484624231211","0.9692484624231211","0.9692484624231211","0.9318965948297414","0.9318965948297414","0.9318965948297414","0.968198409920496","0.968198409920496","0.968198409920496","0.9537476873843692","0.9537476873843692","0.9537476873843692"
"29","0.9706985349267463","0.9706985349267463","0.9706985349267463","0.9696984849242462","0.9696984849242462","0.9696984849242462","0.9301965098254913","0.9301965098254913","0.9301965098254913","0.967848392419621","0.967848392419621","0.967848392419621","0.952347617380869","0.952347617380869","0.952347617380869"
"30","0.9700485024251212","0.9700485024251212","0.9700485024251212","0.968598429921496","0.968598429921496","0.968598429921496","0.9320966048302415","0.9320966048302415","0.9320966048302415","0.968348417420871","0.968348417420871","0.968348417420871","0.9539476973848692","0.9539476973848692","0.9539476973848692"
"31","0.9707985399269963","0.9707985399269963","0.9707985399269963","0.9691484574228711","0.9691484574228711","0.9691484574228711","0.9338966948347417","0.9338966948347417","0.9338966948347417","0.9670983549177459","0.9670983549177459","0.9670983549177459","0.9541477073853692","0.9541477073853692","0.9541477073853692"
"32","0.9696984849242462","0.9696984849242462","0.9696984849242462","0.9693984699234961","0.9693984699234961","0.9693984699234961","0.9299464973248662","0.9299464973248662","0.9299464973248662","0.968348417420871","0.968348417420871","0.968348417420871","0.9535976798839941","0.9535976798839941","0.9535976798839941"
"33","0.9710985549277463","0.9710985549277463","0.9710985549277463","0.968698434921746","0.968698434921746","0.968698434921746","0.9338466923346167","0.9338466923346167","0.9338466923346167","0.9692984649232461","0.9692984649232461","0.9692984649232461","0.9552977648882444","0.9552977648882444","0.9552977648882444"
"34","0.9714485724286214","0.9714485724286214","0.9714485724286214","0.9696484824241212","0.9696484824241212","0.9696484824241212","0.9337966898344917","0.9337966898344917","0.9337966898344917","0.9676983849192459","0.9676983849192459","0.9676983849192459","0.9531976598829941","0.9531976598829941","0.9531976598829941"
"35","0.9714985749287464","0.9714985749287464","0.9714985749287464","0.9700485024251212","0.9700485024251212","0.9700485024251212","0.9344967248362418","0.9344967248362418","0.9344967248362418","0.9697484874243711","0.9697484874243711","0.9697484874243711","0.9533976698834942","0.9533976698834942","0.9533976698834942"
"36","0.9715485774288714","0.9715485774288714","0.9715485774288714","0.9700985049252462","0.9700985049252462","0.9700985049252462","0.9341967098354917","0.9341967098354917","0.9341967098354917","0.9700485024251212","0.9700485024251212","0.9700485024251212","0.9539476973848692","0.9539476973848692","0.9539476973848692"
"37","0.9721486074303715","0.9721486074303715","0.9721486074303715","0.9704985249262462","0.9704985249262462","0.9704985249262462","0.9341967098354917","0.9341967098354917","0.9341967098354917","0.968498424921246","0.968498424921246","0.968498424921246","0.9564478223911195","0.9564478223911195","0.9564478223911195"
"38","0.9722486124306214","0.9722486124306214","0.9722486124306214","0.9706985349267463","0.9706985349267463","0.9706985349267463","0.936296814840742","0.936296814840742","0.936296814840742","0.9693484674233711","0.9693484674233711","0.9693484674233711","0.9545977298864943","0.9545977298864943","0.9545977298864943"
"39","0.9721486074303715","0.9721486074303715","0.9721486074303715","0.9706985349267463","0.9706985349267463","0.9706985349267463","0.9360968048402419","0.9360968048402419","0.9360968048402419","0.9697484874243711","0.9697484874243711","0.9697484874243711","0.9547977398869943","0.9547977398869943","0.9547977398869943"
"40","0.9723986199309965","0.9723986199309965","0.9723986199309965","0.9706485324266213","0.9706485324266213","0.9706485324266213","0.936496824841242","0.936496824841242","0.936496824841242","0.9696984849242462","0.9696984849242462","0.9696984849242462","0.9556977848892444","0.9556977848892444","0.9556977848892444"
"41","0.9719485974298715","0.9719485974298715","0.9719485974298715","0.9704485224261212","0.9704485224261212","0.9704485224261212","0.936346817340867","0.936346817340867","0.936346817340867","0.9695484774238712","0.9695484774238712","0.9695484774238712","0.9556477823891194","0.9556477823891194","0.9556477823891194"
"42","0.9724486224311215","0.9724486224311215","0.9724486224311215","0.9706485324266213","0.9706485324266213","0.9706485324266213","0.936246812340617","0.936246812340617","0.936246812340617","0.9694484724236211","0.9694484724236211","0.9694484724236211","0.9556477823891194","0.9556477823891194","0.9556477823891194"
"43","0.9725486274313715","0.9725486274313715","0.9725486274313715","0.9708985449272464","0.9708985449272464","0.9708985449272464","0.9360968048402419","0.9360968048402419","0.9360968048402419","0.9699984999249962","0.9699984999249962","0.9699984999249962","0.9560978048902444","0.9560978048902444","0.9560978048902444"
"44","0.9726486324316216","0.9726486324316216","0.9726486324316216","0.9704985249262462","0.9704985249262462","0.9704985249262462","0.936196809840492","0.936196809840492","0.936196809840492","0.9697484874243711","0.9697484874243711","0.9697484874243711","0.9556477823891194","0.9556477823891194","0.9556477823891194"
"45","0.9727986399319966","0.9727986399319966","0.9727986399319966","0.9705485274263713","0.9705485274263713","0.9705485274263713","0.935996799839992","0.935996799839992","0.935996799839992","0.9696484824241212","0.9696484824241212","0.9696484824241212","0.9555477773888694","0.9555477773888694","0.9555477773888694"
"46","0.9732486624331216","0.9732486624331216","0.9732486624331216","0.9708485424271213","0.9708485424271213","0.9708485424271213","0.935946797339867","0.935946797339867","0.935946797339867","0.9699484974248712","0.9699484974248712","0.9699484974248712","0.9553977698884943","0.9553977698884943","0.9553977698884943"
"47","0.9730486524326216","0.9730486524326216","0.9730486524326216","0.9707485374268713","0.9707485374268713","0.9707485374268713","0.936296814840742","0.936296814840742","0.936296814840742","0.9698984949247462","0.9698984949247462","0.9698984949247462","0.9559477973898695","0.9559477973898695","0.9559477973898695"
"48","0.9729986499324966","0.9729986499324966","0.9729986499324966","0.9709985499274963","0.9709985499274963","0.9709985499274963","0.9356467823391169","0.9356467823391169","0.9356467823391169","0.9698984949247462","0.9698984949247462","0.9698984949247462","0.9557977898894945","0.9557977898894945","0.9557977898894945"
"49","0.9727986399319966","0.9727986399319966","0.9727986399319966","0.9709485474273714","0.9709485474273714","0.9709485474273714","0.935946797339867","0.935946797339867","0.935946797339867","0.9699984999249962","0.9699984999249962","0.9699984999249962","0.9557477873893694","0.9557477873893694","0.9557477873893694"