"Step","MambaModel s6[] 0.225dropout - test acc","MambaModel s6[] 0.225dropout - test acc__MIN","MambaModel s6[] 0.225dropout - test acc__MAX","MambaModel s6[] 0.15dropout - test acc","MambaModel s6[] 0.15dropout - test acc__MIN","MambaModel s6[] 0.15dropout - test acc__MAX","MambaModel s6[] 0.075dropout - test acc","MambaModel s6[] 0.075dropout - test acc__MIN","MambaModel s6[] 0.075dropout - test acc__MAX","MambaModel s6[] 0.0dropout - test acc","MambaModel s6[] 0.0dropout - test acc__MIN","MambaModel s6[] 0.0dropout - test acc__MAX"
"0","0.46580000000000005","0.46580000000000005","0.46580000000000005","0.46540000000000004","0.46540000000000004","0.46540000000000004","0.4562","0.4562","0.4562","0.516","0.516","0.516"
"1","0.5372","0.5372","0.5372","0.5528000000000001","0.5528000000000001","0.5528000000000001","0.5334","0.5334","0.5334","0.6064","0.6064","0.6064"
"2","0.6092000000000001","0.6092000000000001","0.6092000000000001","0.597","0.597","0.597","0.6314000000000001","0.6314000000000001","0.6314000000000001","0.622","0.622","0.622"
"3","0.6016","0.6016","0.6016","0.619","0.619","0.619","0.6526000000000001","0.6526000000000001","0.6526000000000001","0.6686000000000001","0.6686000000000001","0.6686000000000001"
"4","0.6414000000000001","0.6414000000000001","0.6414000000000001","0.6566000000000001","0.6566000000000001","0.6566000000000001","0.6746","0.6746","0.6746","0.6912","0.6912","0.6912"
"5","0.6464000000000001","0.6464000000000001","0.6464000000000001","0.6734","0.6734","0.6734","0.6934","0.6934","0.6934","0.6958000000000001","0.6958000000000001","0.6958000000000001"
"6","0.681","0.681","0.681","0.6886","0.6886","0.6886","0.7084","0.7084","0.7084","0.68","0.68","0.68"
"7","0.6988000000000001","0.6988000000000001","0.6988000000000001","0.6954","0.6954","0.6954","0.7120000000000001","0.7120000000000001","0.7120000000000001","0.7260000000000001","0.7260000000000001","0.7260000000000001"
"8","0.7104","0.7104","0.7104","0.7216","0.7216","0.7216","0.7220000000000001","0.7220000000000001","0.7220000000000001","0.7246","0.7246","0.7246"
"9","0.7112","0.7112","0.7112","0.7178","0.7178","0.7178","0.7412000000000001","0.7412000000000001","0.7412000000000001","0.73","0.73","0.73"
"10","0.7128","0.7128","0.7128","0.7224","0.7224","0.7224","0.7356","0.7356","0.7356","0.7338","0.7338","0.7338"
"11","0.7326","0.7326","0.7326","0.7444000000000001","0.7444000000000001","0.7444000000000001","0.7368","0.7368","0.7368","0.7366","0.7366","0.7366"
"12","0.7206","0.7206","0.7206","0.739","0.739","0.739","0.7372000000000001","0.7372000000000001","0.7372000000000001","0.738","0.738","0.738"
"13","0.7346","0.7346","0.7346","0.7444000000000001","0.7444000000000001","0.7444000000000001","0.7592","0.7592","0.7592","0.7196","0.7196","0.7196"
"14","0.7536","0.7536","0.7536","0.7458","0.7458","0.7458","0.7528","0.7528","0.7528","0.7444000000000001","0.7444000000000001","0.7444000000000001"
"15","0.7574000000000001","0.7574000000000001","0.7574000000000001","0.7564000000000001","0.7564000000000001","0.7564000000000001","0.759","0.759","0.759","0.741","0.741","0.741"
"16","0.744","0.744","0.744","0.7616","0.7616","0.7616","0.768","0.768","0.768","0.7402000000000001","0.7402000000000001","0.7402000000000001"
"17","0.7448","0.7448","0.7448","0.7644000000000001","0.7644000000000001","0.7644000000000001","0.7686000000000001","0.7686000000000001","0.7686000000000001","0.7282000000000001","0.7282000000000001","0.7282000000000001"
"18","0.752","0.752","0.752","0.7786000000000001","0.7786000000000001","0.7786000000000001","0.7632","0.7632","0.7632","0.741","0.741","0.741"
"19","0.761","0.761","0.761","0.774","0.774","0.774","0.7756000000000001","0.7756000000000001","0.7756000000000001","0.7368","0.7368","0.7368"
"20","0.7768","0.7768","0.7768","0.785","0.785","0.785","0.7824","0.7824","0.7824","0.732","0.732","0.732"
"21","0.7778","0.7778","0.7778","0.7816000000000001","0.7816000000000001","0.7816000000000001","0.7712","0.7712","0.7712","0.7436","0.7436","0.7436"
"22","0.777","0.777","0.777","0.7872","0.7872","0.7872","0.7696000000000001","0.7696000000000001","0.7696000000000001","0.7362000000000001","0.7362000000000001","0.7362000000000001"
"23","0.769","0.769","0.769","0.783","0.783","0.783","0.782","0.782","0.782","0.7452000000000001","0.7452000000000001","0.7452000000000001"
"24","0.7802","0.7802","0.7802","0.7868","0.7868","0.7868","0.7816000000000001","0.7816000000000001","0.7816000000000001","0.7444000000000001","0.7444000000000001","0.7444000000000001"