"Step","MambaModel s6[] 0.2wd - test acc","MambaModel s6[] 0.2wd - test acc__MIN","MambaModel s6[] 0.2wd - test acc__MAX","MambaModel s6[] 0.1wd - test acc","MambaModel s6[] 0.1wd - test acc__MIN","MambaModel s6[] 0.1wd - test acc__MAX","MambaModel s6[] 0.067wd - test acc","MambaModel s6[] 0.067wd - test acc__MIN","MambaModel s6[] 0.067wd - test acc__MAX","MambaModel s6[] 0.033wd - test acc","MambaModel s6[] 0.033wd - test acc__MIN","MambaModel s6[] 0.033wd - test acc__MAX","MambaModel s6[] 0.0wd - test acc","MambaModel s6[] 0.0wd - test acc__MIN","MambaModel s6[] 0.0wd - test acc__MAX"
"0","0.5046","0.5046","0.5046","0.48900000000000005","0.48900000000000005","0.48900000000000005","0.4924","0.4924","0.4924","0.547","0.547","0.547","0.514","0.514","0.514"
"1","0.5660000000000001","0.5660000000000001","0.5660000000000001","0.5926","0.5926","0.5926","0.5714","0.5714","0.5714","0.5936","0.5936","0.5936","0.5848","0.5848","0.5848"
"2","0.6018","0.6018","0.6018","0.6186","0.6186","0.6186","0.6052000000000001","0.6052000000000001","0.6052000000000001","0.6534","0.6534","0.6534","0.6408","0.6408","0.6408"
"3","0.6208","0.6208","0.6208","0.6548","0.6548","0.6548","0.6516000000000001","0.6516000000000001","0.6516000000000001","0.647","0.647","0.647","0.6836","0.6836","0.6836"
"4","0.6386000000000001","0.6386000000000001","0.6386000000000001","0.6384000000000001","0.6384000000000001","0.6384000000000001","0.6836","0.6836","0.6836","0.6844","0.6844","0.6844","0.6838000000000001","0.6838000000000001","0.6838000000000001"
"5","0.6174000000000001","0.6174000000000001","0.6174000000000001","0.6634","0.6634","0.6634","0.6702","0.6702","0.6702","0.6922","0.6922","0.6922","0.7004","0.7004","0.7004"
"6","0.6396000000000001","0.6396000000000001","0.6396000000000001","0.6814","0.6814","0.6814","0.6558","0.6558","0.6558","0.7110000000000001","0.7110000000000001","0.7110000000000001","0.7130000000000001","0.7130000000000001","0.7130000000000001"
"7","0.6578","0.6578","0.6578","0.6880000000000001","0.6880000000000001","0.6880000000000001","0.7014","0.7014","0.7014","0.7252000000000001","0.7252000000000001","0.7252000000000001","0.7122","0.7122","0.7122"
"8","0.6678000000000001","0.6678000000000001","0.6678000000000001","0.6950000000000001","0.6950000000000001","0.6950000000000001","0.7062","0.7062","0.7062","0.7254","0.7254","0.7254","0.7324","0.7324","0.7324"
"9","0.6452","0.6452","0.6452","0.7056","0.7056","0.7056","0.7002","0.7002","0.7002","0.7328","0.7328","0.7328","0.7228","0.7228","0.7228"
"10","0.6816","0.6816","0.6816","0.7118","0.7118","0.7118","0.7114","0.7114","0.7114","0.735","0.735","0.735","0.735","0.735","0.735"
"11","0.6742","0.6742","0.6742","0.7148","0.7148","0.7148","0.7122","0.7122","0.7122","0.7372000000000001","0.7372000000000001","0.7372000000000001","0.733","0.733","0.733"
"12","0.662","0.662","0.662","0.7212000000000001","0.7212000000000001","0.7212000000000001","0.7156","0.7156","0.7156","0.7154","0.7154","0.7154","0.737","0.737","0.737"
"13","0.7030000000000001","0.7030000000000001","0.7030000000000001","0.7326","0.7326","0.7326","0.7342000000000001","0.7342000000000001","0.7342000000000001","0.7494000000000001","0.7494000000000001","0.7494000000000001","0.7166","0.7166","0.7166"
"14","0.6884","0.6884","0.6884","0.6960000000000001","0.6960000000000001","0.6960000000000001","0.7386","0.7386","0.7386","0.7354","0.7354","0.7354","0.741","0.741","0.741"
"15","0.7018","0.7018","0.7018","0.7296","0.7296","0.7296","0.7318","0.7318","0.7318","0.7454000000000001","0.7454000000000001","0.7454000000000001","0.739","0.739","0.739"
"16","0.6856","0.6856","0.6856","0.7146","0.7146","0.7146","0.7332000000000001","0.7332000000000001","0.7332000000000001","0.7336","0.7336","0.7336","0.7444000000000001","0.7444000000000001","0.7444000000000001"
"17","0.7016","0.7016","0.7016","0.7094","0.7094","0.7094","0.737","0.737","0.737","0.7472000000000001","0.7472000000000001","0.7472000000000001","0.7228","0.7228","0.7228"
"18","0.7014","0.7014","0.7014","0.7238","0.7238","0.7238","0.7298","0.7298","0.7298","0.7472000000000001","0.7472000000000001","0.7472000000000001","0.739","0.739","0.739"
"19","0.6972","0.6972","0.6972","0.7404000000000001","0.7404000000000001","0.7404000000000001","0.74","0.74","0.74","0.7558","0.7558","0.7558","0.7382000000000001","0.7382000000000001","0.7382000000000001"
"20","0.7068","0.7068","0.7068","0.7528","0.7528","0.7528","0.7412000000000001","0.7412000000000001","0.7412000000000001","0.7298","0.7298","0.7298","0.7338","0.7338","0.7338"
"21","0.7098","0.7098","0.7098","0.7444000000000001","0.7444000000000001","0.7444000000000001","0.7564000000000001","0.7564000000000001","0.7564000000000001","0.748","0.748","0.748","0.7398","0.7398","0.7398"
"22","0.7054","0.7054","0.7054","0.747","0.747","0.747","0.7564000000000001","0.7564000000000001","0.7564000000000001","0.7524000000000001","0.7524000000000001","0.7524000000000001","0.7286","0.7286","0.7286"
"23","0.7230000000000001","0.7230000000000001","0.7230000000000001","0.735","0.735","0.735","0.7542","0.7542","0.7542","0.7544000000000001","0.7544000000000001","0.7544000000000001","0.7376","0.7376","0.7376"
"24","0.7386","0.7386","0.7386","0.7180000000000001","0.7180000000000001","0.7180000000000001","0.7522000000000001","0.7522000000000001","0.7522000000000001","0.7356","0.7356","0.7356","0.7372000000000001","0.7372000000000001","0.7372000000000001"