"Name","State","Notes","User","Tags","Created","Runtime","Sweep","b","d_model","d_state","data","dropout","lr","model","n_layer","n_params","weight_decay","loss","test acc","train acc","val acc"
"MambaModel_s6_32768_[]_pretrained","finished","-","","","2024-05-01T19:10:55.000Z","4140","","32","116","16","Species_v1","0","0.0003125","MambaModel_s6_32768_[]_pretrained","6","586037","0","0.03341038708899311","0.9911859035491944","0.9890364916773368","0.9823718070983888"
"MambaModel_s6_1024_[]_pretrained","finished","-","","","2024-05-01T14:53:25.000Z","494","","32","116","16","Species_v1","0","0.0002","MambaModel_s6_1024_[]_pretrained","6","586037","0","0.9598828277499362","0.5855368375778198","0.5781049935979513","0.5757211446762085"
"MambaModel_s6_1024_[]_BIMODULE","finished","-","","","2024-05-01T14:11:46.000Z","832","","32","104","16","Species_v1","0","0.001","MambaModel_s6_1024_[]_BIMODULE","6","564101","0","0.9640508615787448","0.5815304517745972","0.5741637323943661","0.5701121687889099"
"MambaModel_s6_1024_[]","finished","-","","","2024-05-01T13:03:33.000Z","279","","32","116","16","Species_v1","0","0.001","MambaModel_s6_1024_[]","6","586037","0","0.9766242902883342","0.5787259936332703","0.574523847631242","0.5839343070983887"
"MambaModel s6_32768[]","finished","-","","","2024-04-10T12:24:34.000Z","4070","","32","116","16","Species_v1","0","0.00004125","MambaModel s6_32768[]","6","586856","0","0.06104726246981458","0.9807692307692308","0.982394366197183",""
"MambaModel s6_32768[]_BIMODULE","finished","-","","","2024-04-10T10:15:29.000Z","5016","","32","78","16","Species_v1","0","0.00004125","MambaModel s6_32768[]_BIMODULE","6","562158","0","0.08814859419474413","0.970352564102564","0.9809739116517284",""
"MambaModel s6_16384[]_tied_BIMODULE","finished","-","","","2024-04-10T02:52:02.000Z","3555","","64","104","16","Species_v1","0","0.000125","MambaModel s6_16384[]_tied_BIMODULE","6","564836","0","0.07098502346025912","0.9759615384615384","0.9763124199743918",""
"MambaModel s6_8192[]_tied_BIMODULE","finished","-","","","2024-04-10T01:44:38.000Z","1651","","64","104","16","Species_v1","0","0.00025","MambaModel s6_8192[]_tied_BIMODULE","6","564836","0","0.18906868810117933","0.9180689102564102","0.9261963828425096",""
"MambaModel s6_4096[]_tied_BIMODULE","finished","-","","","2024-04-10T01:12:06.000Z","842","","64","104","16","Species_v1","0","0.0005","MambaModel s6_4096[]_tied_BIMODULE","6","564836","0","0.38926882372165","0.8263221153846153","0.8402088668373879",""
"MambaModel s6_2048[]_tied_BIMODULE","finished","-","","","2024-04-10T00:55:05.000Z","455","","64","104","16","Species_v1","0","0.001","MambaModel s6_2048[]_tied_BIMODULE","6","564836","0","0.6846218035865227","0.7145432692307692","0.7078665172855313",""
"MambaModel s6_16384[]","finished","-","","","2024-04-09T23:06:26.000Z","2242","","64","116","16","Species_v1","0","0.000125","MambaModel s6_16384[]","6","586856","0","0.08704283945715573","0.9641426282051282","0.9709707106274008",""
"MambaModel s6_16384[]_pretrained","finished","-","","","2024-04-09T22:03:50.000Z","2244","","64","116","16","Species_v1","0","0.000125","MambaModel s6_16384[]_pretrained","6","586856","0","0.11530186018635842","0.9565304487179488","0.9601872599231752",""
"MambaModel s6_8192[]","finished","-","","","2024-04-09T18:47:56.000Z","951","","64","116","16","Species_v1","0","0.00025","MambaModel s6_8192[]","6","586856","0","0.21423479456755015","0.9188701923076924","0.9187740076824584",""
"MambaModel s6_4096[]","finished","-","","","2024-04-09T18:28:55.000Z","497","","64","116","16","Species_v1","0","0.0005","MambaModel s6_4096[]","6","586856","0","0.40393182950120576","0.8471554487179487","0.8371478873239436",""
"MambaModel s6_2048[]","finished","-","","","2024-04-09T18:18:42.000Z","276","","64","116","16","Species_v1","0","0.001","MambaModel s6_2048[]","6","586856","0","0.7049263150224918","0.7083333333333333","0.7026248399487836",""
"MambaModel s6_8192_pretrained[]","finished","-","","","2024-04-09T17:59:43.000Z","952","","64","116","16","Species_v1","0","0.00025","MambaModel s6_8192[]","6","586856","0","0.22012987510610024","0.9200721153846152","0.9157930537772088",""
"MambaModel s6_4096_pretrained[]","finished","-","","","2024-04-09T17:14:04.000Z","496","","64","116","16","Species_v1","0","0.0005","MambaModel s6_4096[]","6","586856","0","0.4475124045615007","0.7874599358974359","0.8166013124199744",""
"MambaModel s6_2048_pretrained[]","finished","-","","","2024-04-09T16:49:54.000Z","278","","64","116","16","Species_v1","0","0.001","MambaModel s6_2048[]","6","586856","0","0.725314638259011","0.696113782051282","0.6885003201024328",""